time,rain,forecast_low,forecast_high,forecast_int,water_depth_basin1,water_depth_basin2,water_depth_basin3,orifice_setting1,orifice_setting2,orifice_setting3,water_depth_junction4
2019-09-05 00:00,0,210,256,0.04090499999999998,0.0,0.0,0.0,3.0,3.75,2.25,0.0
2019-09-05 01:00,0.0,156,190,0.019991999999999992,0.0,0.0,0.29245802393353676,3.0,2.25,2.25,0.1388743486873945
2019-09-05 02:00,0.0,102,124,0.019991999999999992,0.0,0.0,0.283558506496595,3.75,3.0,3.75,0.10252607014828101
2019-09-05 03:00,0.0,48,58,0.019991999999999992,0.0,0.0,0.1676176461503418,2.25,2.25,3.0,0.08021766212204387
2019-09-05 04:00,0.3090599999999999,0,0,0.01263913043478261,0.0029413131466628955,0.0029435500339331463,0.09060280049949497,3.75,3.0,2.25,0.06465213617988635
2019-09-05 05:00,0.29069999999999996,31,37,0.0434608695652174,0.004886729305896904,0.004817103652529266,0.08141868283063275,2.25,2.25,2.25,0.05331534214361975
2019-09-05 06:00,0.9996000000000005,241,241,0.0,0.03532253207421852,0.03534668515072793,0.07627663729944939,3.0,2.25,2.25,0.044931610263761565
2019-09-05 07:00,0.0,241,241,0.0,0.01502092286639871,0.05727387118734582,0.07954009432584117,2.25,2.25,3.0,0.03854375348058764
2019-09-05 08:00,0.0,241,241,0.0,0.05287479425169848,0.06353024761474901,0.04560558058900729,3.75,3.0,3.0,0.033631779888785046
2019-09-05 09:00,0.0,241,241,0.0,0.017733393775810867,0.016612291538465284,0.0408822789806351,2.25,2.25,2.25,0.02968590155432812
2019-09-05 10:00,0.0,241,241,0.0,0.05114849322612289,0.05038928069645231,0.051631345734085766,3.75,3.75,3.0,0.02648841434615
2019-09-05 11:00,0.0,241,241,0.0,0.0206193101319943,0.01870934589921786,0.03430917058114829,3.75,2.25,3.0,0.02394862646923763
2019-09-05 12:00,0.0,241,241,0.0,0.021829098509470325,0.0485288925892983,0.031887439431893976,2.25,3.0,3.0,0.0218662886330346
2019-09-05 13:00,0.0,241,241,0.0,0.0491289108187638,0.020531492433755724,0.02993831108070661,2.25,3.0,2.25,0.02019527859923516
2019-09-05 14:00,0.0,241,241,0.0,0.054066053644889076,0.021456434368721466,0.04201497816008696,2.25,3.0,2.25,0.01884054959485361
2019-09-05 15:00,0.0,241,241,0.0,0.05465214809861065,0.02219161454059757,0.046948496263102414,2.25,3.0,2.25,0.017765908972244195
2019-09-05 16:00,0.0,241,241,0.0,0.053443088464528436,0.022645319807323292,0.04932994173735425,2.25,3.75,3.0,0.01690827118394348
2019-09-05 17:00,0.0,241,241,0.0,0.05146051611004762,0.023038686306790013,0.02519873162816458,3.75,3.75,3.0,0.016238969785694952
2019-09-05 18:00,0.0,241,241,0.0,0.02179883908553315,0.023039323625557467,0.024461016507341633,2.25,2.25,3.75,0.015650675549767262
2019-09-05 19:00,0.0,241,241,0.0,0.04102253050328175,0.04204882712568155,0.023984829158409722,3.75,2.25,3.75,0.015139535107225061
2019-09-05 20:00,0.0,241,241,0.0,0.02113210973748825,0.04411899714062433,0.023404821558573898,3.0,3.0,3.75,0.014689431624712262
2019-09-05 21:00,0.0,241,241,0.0,0.0205873168237227,0.0221995216243688,0.022893068208475042,3.75,3.0,3.75,0.014300713838444152
2019-09-05 22:00,0.0,241,241,0.0,0.02051833175761145,0.021895682205431123,0.022423965952137064,3.0,3.75,3.0,0.013947823486187989
2019-09-05 23:00,0.0,241,241,0.0,0.020012895217783527,0.021815676989903953,0.021828548029869208,3.75,2.25,3.75,0.013624692782405128
2019-09-06 00:00,0.0,241,241,0.0,0.019961566834785574,0.035878293727811254,0.021579477981266845,2.25,2.25,3.75,0.01332289483005796
2019-09-06 01:00,0.0,241,241,0.0,0.03346254175864024,0.03643629294023263,0.021195173277189745,3.75,2.25,3.0,0.013043444152165648
2019-09-06 02:00,0.0,241,241,0.0,0.019454635802872468,0.03539405782785047,0.020681626739902068,3.0,3.0,2.25,0.012786123809918077
2019-09-06 03:00,0.0,241,241,0.0,0.01899740799979896,0.0204923152073195,0.03079618752546443,3.0,2.25,3.0,0.012544544326401797
2019-09-06 04:00,0.0,185,227,0.036968571428571434,0.0187581807320007,0.03148836008463882,0.020039462138426625,2.25,2.25,3.75,0.012333168563057507
2019-09-06 05:00,0.0,131,161,0.029085818181818202,0.02925552215110894,0.03137748811659466,0.019888884816243287,2.25,2.25,3.0,0.012124602755203927
2019-09-06 06:00,0.0,77,95,0.029085818181818202,0.028983841479910826,0.030358647308817908,0.019455408017668298,3.0,3.75,3.0,0.011929008871732462
2019-09-06 07:00,0.0,23,29,0.029085818181818202,0.01809389267329449,0.019657062911138026,0.019188823320756478,2.25,3.75,2.25,0.01174885070839761
2019-09-06 08:00,1.2821399999999996,0,0,0.01512285714285714,0.07059662323471039,0.031983994281049824,0.04737538082231805,2.25,2.25,3.0,0.011583052510033087
2019-09-06 09:00,0.3175799999999973,133,163,0.030779999999999974,0.12838494162775937,0.117862609027719,0.028448777297348262,2.25,2.25,2.25,0.01159633852181119
2019-09-06 10:00,0.0,79,97,0.030779999999999974,0.15961157890210256,0.15278646727910597,0.07331333799068301,3.0,2.25,3.0,0.011589052413445058
2019-09-06 11:00,0.0,25,31,0.030779999999999974,0.03995534056485477,0.17453911714571438,0.028086318858885063,3.75,2.25,2.25,0.01185931918032763
2019-09-06 12:00,0.800279999999999,198,242,0.021591428571428574,0.04956270791132052,0.2006679691159913,0.0791205857361605,2.25,3.0,3.75,0.012116547438451905
