time,rain,forecast_low,forecast_high,forecast_int,water_depth_basin1,water_depth_basin2,water_depth_basin3,orifice_setting1,orifice_setting2,orifice_setting3,water_depth_junction4
2019-09-05 00:00,0,210,256,0.04090499999999998,0.0,0.0,0.0,1.0,0.1428571428571428,0.1428571428571428,0.0
2019-09-05 01:00,0.0,156,190,0.019991999999999992,0.0,0.0,0.29245802393353676,0.1428571428571428,0.1428571428571428,0.5714285714285714,0.1388743486873945
2019-09-05 02:00,0.0,102,124,0.019991999999999992,0.0,0.0,0.2317918579095063,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.10290465228170374
2019-09-05 03:00,0.0,48,58,0.019991999999999992,0.0,0.0,0.22155679995231603,1.0,1.0,0.5714285714285714,0.07976761995395142
2019-09-05 04:00,0.3090599999999999,0,0,0.01263913043478261,0.0021968756278680484,0.002199740553355938,0.14495219126452222,1.0,0.1428571428571428,1.0,0.06446612885021731
2019-09-05 05:00,0.29069999999999996,31,37,0.0434608695652174,0.004887470913317391,0.006734731380073546,0.0666949315953388,1.0,0.5714285714285714,1.0,0.05339729613792841
2019-09-05 06:00,0.9996000000000005,241,241,0.0,0.014516613537704426,0.014287863598477226,0.05727566168785782,0.5714285714285714,0.1428571428571428,0.1428571428571428,0.04499904879448186
2019-09-05 07:00,0.0,241,241,0.0,0.015019639802823654,0.0541337795698893,0.06622325341338527,1.0,0.1428571428571428,1.0,0.03858724511970913
2019-09-05 08:00,0.0,241,241,0.0,0.016403722215256916,0.0621226459026577,0.04575813923321626,1.0,0.1428571428571428,1.0,0.03363697494563629
2019-09-05 09:00,0.0,241,241,0.0,0.01776367070911547,0.06454383854752091,0.041094497889786676,0.1428571428571428,1.0,1.0,0.029678220633273182
2019-09-05 10:00,0.0,241,241,0.0,0.051162470110732654,0.01778006656867995,0.0374463697423552,1.0,1.0,0.5714285714285714,0.02651058958083029
2019-09-05 11:00,0.0,241,241,0.0,0.02061946362683551,0.018731272067511642,0.03429235945646296,0.5714285714285714,0.1428571428571428,0.5714285714285714,0.023948807982810308
2019-09-05 12:00,0.0,241,241,0.0,0.021555492550028334,0.048542025131991705,0.03188867511813142,0.5714285714285714,1.0,0.5714285714285714,0.02186759582729941
2019-09-05 13:00,0.0,241,241,0.0,0.022354007676242533,0.020825419321453004,0.029940874268845688,0.1428571428571428,0.5714285714285714,0.1428571428571428,0.020197901584854457
2019-09-05 14:00,0.0,241,241,0.0,0.0480637145783765,0.021493454368289495,0.04201756378800068,1.0,1.0,0.1428571428571428,0.01884557188086002
2019-09-05 15:00,0.0,241,241,0.0,0.02272107841195386,0.0225022001342733,0.04695216970870231,0.1428571428571428,1.0,0.1428571428571428,0.017774010084161976
2019-09-05 16:00,0.0,241,241,0.0,0.04531586057368602,0.02293883847110614,0.04933539112836265,1.0,0.1428571428571428,0.1428571428571428,0.01691979061116139
2019-09-05 17:00,0.0,241,241,0.0,0.02205495065166555,0.04444436588727379,0.05035860261170018,1.0,0.5714285714285714,0.5714285714285714,0.01621539001757543
2019-09-05 18:00,0.0,241,241,0.0,0.021713032961824464,0.02281950994386793,0.02447961671039944,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.01566548164801614
2019-09-05 19:00,0.0,241,241,0.0,0.04097039112601784,0.04202697701211478,0.036299694832799705,1.0,1.0,1.0,0.015139817494418905
2019-09-05 20:00,0.0,241,241,0.0,0.021093340995612716,0.022645450190085625,0.023426612654341053,0.5714285714285714,0.1428571428571428,1.0,0.014709208594042024
2019-09-05 21:00,0.0,241,241,0.0,0.020561207981010642,0.03952364445429418,0.022901465588282145,0.5714285714285714,0.1428571428571428,0.1428571428571428,0.014307044924666617
2019-09-05 22:00,0.0,241,241,0.0,0.02027540458710492,0.040883151248183175,0.034025093144163326,0.1428571428571428,0.5714285714285714,1.0,0.013931647767729156
2019-09-05 23:00,0.0,241,241,0.0,0.03577905956284435,0.0215872361552679,0.02198606230342314,0.5714285714285714,0.1428571428571428,1.0,0.013621447511489828
2019-09-06 00:00,0.0,241,241,0.0,0.01974793184780647,0.035858852865279414,0.021575971089630837,0.1428571428571428,0.1428571428571428,1.0,0.013319637170372043
2019-09-06 01:00,0.0,241,241,0.0,0.033452908534535114,0.03643129256458477,0.021191832847882154,0.5714285714285714,1.0,0.5714285714285714,0.01304036977116871
2019-09-06 02:00,0.0,241,241,0.0,0.019245879235641576,0.020963581457957296,0.02068413840829964,0.5714285714285714,1.0,0.5714285714285714,0.01278888154352966
2019-09-06 03:00,0.0,241,241,0.0,0.018998407872059406,0.020680177529428335,0.02035348782538692,1.0,0.1428571428571428,0.5714285714285714,0.01255421096726093
2019-09-06 04:00,0.0,185,227,0.036968571428571434,0.018962475866842694,0.031486583783067346,0.020037636652691482,0.1428571428571428,0.1428571428571428,0.5714285714285714,0.01233156434842993
2019-09-06 05:00,0.0,131,161,0.029085818181818202,0.029264047482957585,0.03137061154987605,0.019737428409259305,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.01212249434810758
2019-09-06 06:00,0.0,77,95,0.029085818181818202,0.028985101960948494,0.030353884390383744,0.029141217151045257,1.0,0.5714285714285714,0.5714285714285714,0.01191843084496422
2019-09-06 07:00,0.0,23,29,0.029085818181818202,0.018288264266639695,0.01945951571179385,0.019186989681018944,0.1428571428571428,1.0,0.1428571428571428,0.011747031954283815
2019-09-06 08:00,1.2821399999999996,0,0,0.01512285714285714,0.07060051177855996,0.031982320792126845,0.04737443274496334,0.5714285714285714,0.1428571428571428,0.1428571428571428,0.011581241973875321
