time,rain,forecast_low,forecast_high,forecast_int,water_depth_basin1,orifice_setting1,water_depth_junction2
2019-09-05 00:00,0,121,121,0.0,0.0,0.5714285714285714,0.0
2019-09-05 01:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.05928350219942996
2019-09-05 02:00,0.0,102,124,0.04090499999999998,0.0,0.1428571428571428,0.026341938513347474
2019-09-05 03:00,0.0,48,58,0.019991999999999992,0.0,0.1428571428571428,0.015461919805791811
2019-09-05 04:00,0.3090599999999999,0,0,0.01263913043478261,0.0,0.5714285714285714,0.010417319383605584
2019-09-05 05:00,0.29069999999999996,31,37,0.0434608695652174,0.0,1.0,0.007705506660499455
2019-09-05 06:00,0.9996000000000005,121,121,0.0,0.0,0.1428571428571428,0.006238112303540316
2019-09-05 07:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.006233115450885038
2019-09-05 08:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.006813877917863029
2019-09-05 09:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.007333304130728415
2019-09-05 10:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.007678956612588318
2019-09-05 11:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.007913982057959493
2019-09-05 12:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.008054564070445034
2019-09-05 13:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.008116371904273337
2019-09-05 14:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.008118895703623112
2019-09-05 15:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.008080687894666934
2019-09-05 16:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.008017355935795226
2019-09-05 17:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.007941479046664004
2019-09-05 18:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.007871663077786441
2019-09-05 19:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.007809770179712021
2019-09-05 20:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.007752731496044762
2019-09-05 21:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.007698759601675127
2019-09-05 22:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.007646808333704204
2019-09-05 23:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.007596262196600143
2019-09-06 00:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.007546756805338866
2019-09-06 01:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.007498074652944841
2019-09-06 02:00,0.0,121,121,0.0,0.0,1.0,0.007450084398762423
2019-09-06 03:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.007402705401929045
2019-09-06 04:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.007355886947021083
2019-09-06 05:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.007309596044796496
2019-09-06 06:00,0.0,77,95,0.036968571428571434,0.0,0.5714285714285714,0.007263810250920715
2019-09-06 07:00,0.0,23,29,0.029085818181818202,0.0,1.0,0.00721851342836398
2019-09-06 08:00,1.2821399999999996,0,0,0.01512285714285714,0.0,0.1428571428571428,0.0075377377373589466
2019-09-06 09:00,0.3175799999999973,121,121,0.0,0.0,0.5714285714285714,0.010077701573120733
2019-09-06 10:00,0.0,79,97,0.030779999999999974,0.0,0.1428571428571428,0.013885385597044553
2019-09-06 11:00,0.0,25,31,0.030779999999999974,0.0,0.5714285714285714,0.016083850125730347
2019-09-06 12:00,0.800279999999999,121,121,0.0,0.0,0.1428571428571428,0.017176426637762407
2019-09-06 13:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.019214375921569965
2019-09-06 14:00,0.0,90,110,0.021591428571428574,0.0,1.0,0.020154202315008002
2019-09-06 15:00,0.0,36,44,0.012844444444444459,0.0,0.5714285714285714,0.020019590652210276
2019-09-06 16:00,0.4457399999999958,0,0,0.007713223140495867,0.0,0.5714285714285714,0.01952929322770342
2019-09-06 17:00,0.5910000000000073,0,0,0.010029421487603316,0.0,0.5714285714285714,0.020716492118613154
2019-09-06 18:00,0.33119999999999905,0,0,0.011338021978021971,0.0,0.1428571428571428,0.023110029358263333
2019-09-06 19:00,0.877379999999996,0,0,0.004980000000000002,0.0,1.0,0.0262702612858193
2019-09-06 20:00,0.1543799999999882,121,121,0.0,0.0,0.5714285714285714,0.029780848549571495
2019-09-06 21:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.03065939054096869
2019-09-06 22:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.029861716012549996
2019-09-06 23:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.02874871144548032
2019-09-07 00:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.02803305901145186
2019-09-07 01:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.02752772691042919
2019-09-07 02:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.027090493023789856
2019-09-07 03:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.026680354922954133
2019-09-07 04:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.02628511695492289
2019-09-07 05:00,0.0,121,121,0.0,0.0,0.5714285714285714,0.025900943110838345
2019-09-07 06:00,0.0,121,121,0.0,0.0,1.0,0.02552646441454265
2019-09-07 07:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.025161055555587748
2019-09-07 08:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.024804324126630695
2019-09-07 09:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.024455957120155365
2019-09-07 10:00,0.0,121,121,0.0,0.0,0.1428571428571428,0.024115673969198784
