time,,rain,forecast_low,forecast_high,forecast_int,water_depth_basin1,water_depth_basin2,water_depth_basin3,orifice_setting1,orifice_setting2,orifice_setting3,water_depth_junction4
9/6/2019 21:00,,0,241,241,0,0.088170617,0.317409866,0.353927953,0.571428571,1,0.142857143,0.025152006
9/6/2019 22:00,,0,241,241,0,0.082949417,0.108596461,0.418974744,0.571428571,0.142857143,0.571428571,0.027469521
9/6/2019 23:00,,0,241,241,0,0.076074567,0.229934407,0.420334676,0.142857143,0.142857143,0.142857143,0.030489105
9/7/2019 0:00,,0,241,241,0,0.208848212,0.293953604,0.468835614,0.142857143,1,0.142857143,0.032094688
9/7/2019 1:00,,0,241,241,0,0.272300047,0.0971067,0.509559686,1,0.142857143,1,0.033554107
9/7/2019 2:00,,0,241,241,0,0.073366326,0.205875782,0.456678187,0.571428571,0.571428571,0.571428571,0.035997883
9/7/2019 3:00,,0,241,241,0,0.069381009,0.089485881,0.443557815,0.142857143,1,1,0.037357588
9/7/2019 4:00,,0,241,241,0,0.182106351,0.08397848,0.385837462,1,0.142857143,0.571428571,0.038849641
9/7/2019 5:00,,0,241,241,0,0.066287237,0.183506242,0.371177298,1,0.142857143,0.571428571,0.039084882
9/7/2019 6:00,,0,241,241,0,0.064216034,0.23327259,0.35480823,1,0.142857143,0.571428571,0.038913615
9/7/2019 7:00,,0,241,241,0,0.062436405,0.267174781,0.336809113,1,0.571428571,0.571428571,0.038405615
9/7/2019 8:00,,0,241,241,0,0.060820606,0.091210117,0.31734431,0.142857143,0.142857143,0.142857143,0.038165698
9/7/2019 9:00,,0,241,241,0,0.154285044,0.166801624,0.354038973,0.571428571,0.142857143,0.142857143,0.037183056
9/7/2019 10:00,,0,241,241,0,0.057688502,0.206712282,0.384893971,1,0.571428571,1,0.036028572
9/7/2019 11:00,,0,241,241,0,0.05670978,0.065763406,0.310146005,1,1,0.142857143,0.03640777
9/7/2019 12:00,,0,241,241,0,0.055313178,0.063828627,0.341575312,0.571428571,0.571428571,0.142857143,0.035451182
9/7/2019 13:00,,0,241,241,0,0.053473191,0.061409649,0.368347494,1,0.142857143,0.571428571,0.034510586
9/7/2019 14:00,,0,241,241,0,0.052811699,0.135607206,0.33553574,0.142857143,0.571428571,1,0.034186784
9/7/2019 15:00,,0,241,241,0,0.127794102,0.058442102,0.250827018,0.571428571,0.571428571,0.142857143,0.034295603
9/7/2019 16:00,,0,241,241,0,0.050287739,0.057197636,0.282200735,0.142857143,1,0.571428571,0.033234557
9/7/2019 17:00,,0,241,241,0,0.120198301,0.056295596,0.246088309,0.571428571,0.142857143,0.142857143,0.032838533
9/7/2019 18:00,,0,241,241,0,0.048254331,0.120255143,0.274810761,0.142857143,0.571428571,0.571428571,0.031831815
9/7/2019 19:00,,0,241,241,0,0.113182355,0.053722228,0.235332521,0.571428571,0.571428571,1,0.031558485
9/7/2019 20:00,,0,241,241,0,0.046329922,0.052684442,0.135007,0.571428571,1,0.571428571,0.031510353
9/7/2019 21:00,,0,241,241,0,0.04530919,0.052097132,0.106637211,0.571428571,0.142857143,1,0.030925927
9/7/2019 22:00,,0,241,241,0,0.044382387,0.107100582,0.06217859,0.142857143,1,0.142857143,0.030331762
9/7/2019 23:00,,0,241,241,0,0.100415025,0.050021816,0.133084152,1,0.571428571,0.142857143,0.029487813
9/8/2019 0:00,,0,241,241,0,0.043225149,0.048687628,0.172742751,1,0.571428571,1,0.028740575
9/8/2019 1:00,,0,241,241,0,0.042364117,0.047789343,0.064180072,1,0.571428571,1,0.028652307
9/8/2019 2:00,,0,241,241,0,0.041563138,0.046897111,0.056903999,0.571428571,0.571428571,0.571428571,0.028126365
9/8/2019 3:00,,0,241,241,0,0.040421631,0.046033556,0.057560286,0.142857143,1,0.571428571,0.027612522
9/8/2019 4:00,,0,241,241,0,0.086704344,0.045475829,0.055322868,0.571428571,0.571428571,0.142857143,0.027123426
9/8/2019 5:00,,0,241,241,0,0.039101077,0.044379948,0.117088394,0.142857143,0.571428571,1,0.026483556
